cache_key,status,title,author,isbn,matched_title,matched_author,confidence,source
beast quest band 006 eposs gebieter der lufte|adam blade,checked,Beast Quest - Band 006 - Eposs Gebieter der Lüfte,"Blade, Adam",,,,,not_found
beast quest band 005 nanook herrscherin der|adam blade,checked,Beast Quest - Band 005 - Nanook Herrscherin der,"Blade, Adam",,,,,not_found
schwarzer mittwoch|nicci french,checked,Schwarzer Mittwoch,"French, Nicci",,,,,not_found
die sieben schwestern|lucinda riley,checked,Die sieben Schwestern,"Riley, Lucinda",,,,,not_found
dunkler donnerstag|nicci french,checked,Dunkler Donnerstag,"French, Nicci",,,,,not_found
passagier 23|sebastian fitzek,checked,Passagier 23,"Fitzek, Sebastian",,,,,not_found
blauer montag|nicci french,checked,Blauer Montag,"French, Nicci",,,,,not_found
doppelbindung ein alpstein krimi band 1|walter burk,checked,Doppelbindung - Ein Alpstein-Krimi - Band 1,"Burk, Walter",,,,,not_found
doppelrolle ein alpstein krimi band 2|walter burk,checked,Doppelrolle - Ein Alpstein-Krimi - Band 2,"Burk, Walter",,,,,not_found
der kleine drache kokosnuss band 023 expedition auf|ingo siegner,checked,Der kleine Drache Kokosnuss - Band 023 - Expedition auf,"Siegner, Ingo",,,,,not_found
sternenschweif band 044 zauber der mondblumen|,checked,Sternenschweif - Band 044 - Zauber der Mondblumen,,,,,,not_found
die drei kids band 063 monster wolken|boris pfeiffer,checked,Die drei ??? Kids - Band 063 - Monster-Wolken,"Pfeiffer, Boris",,,,,not_found
die drei kids band 062 gefahr im dschungel|ulf blanck,checked,Die drei ??? Kids - Band 062 - Gefahr im Dschungel,"Blanck, Ulf",,,,,not_found
agent andy action der fall blaue hornisse|thilo,checked,Agent Andy Action - Der Fall Blaue Hornisse,THiLO,,,,,not_found
zwei meerschweinchen im klassenzimmer|judith allert,checked,Zwei Meerschweinchen im Klassenzimmer,"Allert, Judith",,,,,not_found
ein fall fur kwiatkowski band 021 schnufflerpech und|jurgen banscherus,checked,Ein Fall für Kwiatkowski - Band 021 - Schnüfflerpech und,"Banscherus, Jürgen",,,,,not_found
das magische baumhaus band 049 abenteuer im tal|mary pope osborne,checked,Das magische Baumhaus - Band 049 - Abenteuer im Tal,"Osborne, Mary Pope",,,,,not_found
pilotengeschichten|fischer hunold alexandra,checked,Pilotengeschichten,Fischer-Hunold Alexandra,,,,,not_found
notruf aus dem roboland|zapf,checked,Notruf aus dem Roboland,Zapf,,,,,not_found
beast quest band 008 clark riese des dschungels|adam blade,checked,Beast Quest - Band 008 - Clark Riese des Dschungels,"Blade, Adam",,,,,not_found
beast quest band 007 zefa gigant des ozeans|adam blade,checked,Beast Quest - Band 007 - Zefa Gigant des Ozeans,"Blade, Adam",,,,,not_found
die olchis und der karierte tigerhai|erhard dietl,checked,Die Olchis - und der karierte Tigerhai,"Dietl, Erhard",,,,,not_found
hexe lilli band 018 im wunderland|knister,checked,Hexe Lilli - Band 018 - im Wunderland,Knister,,,,,not_found
piratten band 03 das geheimnis der schatzkarte|michael peinkofer,checked,Piratten - Band 03 - Das Geheimnis der Schatzkarte,"Peinkofer, Michael",,,,,not_found
piratten band 04 der schrecken der sumpfe|michael peinkofer,checked,Piratten - Band 04 - Der Schrecken der Sümpfe,"Peinkofer, Michael",,,,,not_found
die drei band 048 die maske der konigin|mira sol,checked,Die drei !!! - Band 048 - Die Maske der Königin,"Sol, Mira",,,,,not_found
die drei band 054 klappe und action|mira sol,checked,Die drei !!! - Band 054 - Klappe und Action!,"Sol, Mira",,,,,not_found
die drei hochzeitsfieber band 053|henriette wich,checked,Die drei !!! - Hochzeitsfieber - Band 053,"Wich, Henriette",,,,,not_found
selection|,checked,Selection,,,,,,not_found
selection der erwahlte|kiera cass,checked,"Selection, Der Erwählte","Cass, Kiera",,,,,not_found
selection die elite|kiera cass,checked,"Selection, Die Elite","Cass, Kiera",,,,,not_found
total absturz|beate dolling,checked,Total Absturz,"Dölling, Beate",,,,,not_found
ein fall fur die pony kommissare|b rapley,checked,Ein Fall für die Pony-Kommissare,"Rapley, B",,,,,not_found
die drei der geist des goldgrabers band 177|andre marx,checked,Die drei ??? - Der Geist des Goldgräbers - Band 177,"Marx, André",,,,,not_found
alicia band 003 liebe gut alles gut|ilona einwohlt,checked,Alicia - Band 003 - Liebe gut alles gut!!!,"Einwohlt, Ilona",,,,,not_found
heldentage|sabine raml,checked,Heldentage,"Raml, Sabine",,,,,not_found
die nordseedetektive band 001 das geheimnisvolle|bettina goschle,checked,Die Nordseedetektive - Band 001 - Das geheimnisvolle,"Göschle, Bettina",,,,,not_found
finde den tater tatort krahenstein|julian press,checked,Finde den Täter - Tatort Krähenstein,"Press, Julian",,,,,not_found
ronan strongheart|carter roy,checked,Ronan Strongheart,"Roy, Carter",,,,,not_found
ruckwarts ist kein weg|jana frey,checked,Rückwärts ist kein Weg,"Frey, Jana",,,,,not_found
die neuen passen hier nicht rein|armin kaster,found,Die Neuen passen hier nicht rein!,"Kaster, Armin",9783834627643,Die Neuen passen hier nicht rein! Armin Kaster,"Kaster, Armin",0.8734,dnb
beast quest band 010 vipero furst der schlangen|adam blade,checked,Beast Quest - Band 010 - Vipero Fürst der Schlangen,"Blade, Adam",,,,,not_found
beast quest band 009 soltra beschworerin der steine|adam blade,checked,Beast Quest - Band 009 - Soltra Beschwörerin der Steine,"Blade, Adam",,,,,not_found
beast quest band 012 trillion tyrann der wildnis|adam blade,checked,Beast Quest - Band 012 - Trillion Tyrann der Wildnis,"Blade, Adam",,,,,not_found
beast quest band 011 arachnid meister der spinnen|adam blade,checked,Beast Quest - Band 011 - Arachnid - Meister der Spinnen,"Blade, Adam",,,,,not_found
bretonischer stolz|jean luc bannalec,checked,Bretonischer Stolz,"Bannalec, Jean-Luc",,,,,not_found
warrior cats 1 band 3 geheimnis des waldes|erin hunter,checked,Warrior Cats - 1/Band 3 - Geheimnis des Waldes,"Hunter, Erin",,,,,not_found
warrior cats 1 band 2 feuer und eis|erin hunter,checked,Warrior Cats - 1/Band 2 - Feuer und Eis,"Hunter, Erin",,,,,not_found
die schonsten marchen der gebruder grimm|gebruder grimm,checked,Die schönsten Märchen der Gebrüder Grimm,"Grimm, Gebrüder",,,,,not_found
die drei kids band 042 fussballgotter|boris pfeiffer,checked,Die drei ??? Kids - Band 042 - Fussballgötter,"Pfeiffer, Boris",,,,,not_found
tod in stiller nacht band 6|viveca sten,checked,Tod in stiller Nacht - Band 6,"Sten, Viveca",,,,,not_found
das dornenkind band 5|max bentow,checked,Das Dornenkind - Band 5,"Bentow, Max",,,,,not_found
takeover|jussi adler olsen,checked,Takeover,"Adler-Olsen, Jussi",,,,,not_found
morderischer freitag|nicci french,checked,Mörderischer Freitag,"French, Nicci",,,,,not_found
monster mia band 005 und das biest von oddington|a b saddlewick,checked,Monster Mia - Band 005 - und das Biest von Oddington,"Saddlewick, A.B",,,,,not_found
monster mia band 004 und die schrage schulkontolle|a b saddlewick,checked,Monster Mia - Band 004 - und die schräge Schulkontolle,"Saddlewick, A.B",,,,,not_found
sternenritter band 004 verrat auf dem feuerstern|michael peinkofer,checked,Sternenritter - Band 004 - Verrat auf dem Feuerstern,"Peinkofer, Michael",,,,,not_found
beast quest band 018 sting wachter der festung|adam blade,checked,Beast Quest - Band 018 - Sting Wächter der Festung,"Blade, Adam",,,,,not_found
beast quest band 016 karmon hollenhund des|adam blade,checked,Beast Quest - Band 016 - Karmon Höllenhund des,"Blade, Adam",,,,,not_found
beast quest band 015 narga monster der meere|adam blade,checked,Beast Quest - Band 015 - Narga Monster der Meere,"Blade, Adam",,,,,not_found
beast quest band 017 tusko herrscher der walder|adam blade,checked,Beast Quest - Band 017 - Tusko Herrscher der Wälder,"Blade, Adam",,,,,not_found
funklerwald|stefanie taschinski,checked,Funklerwald,"Taschinski, Stefanie",,,,,not_found
snofrid aus dem wiesental|schmachtl andreas h,checked,Snöfrid aus dem Wiesental,Schmachtl Andreas H.,,,,,not_found
monster mia band 008 und der verflixte flaschengeist|a b saddlewick,checked,Monster Mia - Band 008 - und der verflixte Flaschengeist,"Saddlewick, A.B",,,,,not_found
monster mia band 003 und die ungeheuerliche|a b saddlewick,checked,Monster Mia - Band 003 - und die ungeheuerliche,"Saddlewick, A.B",,,,,not_found
monster mia band 006 und der teuflische|a b saddlewick,checked,Monster Mia - Band 006 - und der teuflische,"Saddlewick, A.B",,,,,not_found
monster mia band 007 und das geheimnisvolle|a b saddlewick,checked,Monster Mia - Band 007 - und das geheimnisvolle,"Saddlewick, A.B",,,,,not_found
beast quest band 014 skoro damon der wolken|adam blade,checked,Beast Quest - Band 014 - Skoro Dämon der Wolken,"Blade, Adam",,,,,not_found
liliane susewind ein kleiner esel kommt gross raus|tanya stewner,found,Liliane Susewind - Ein kleiner Esel kommt gross raus,"Stewner, Tanya",9783737341189,Liliane Susewind - ein kleiner Esel kommt groß raus,"Stewner, Tanya",0.9847,dnb
die drei kids band 064 in der schatzhohle|boris pfeiffer,checked,Die drei ??? Kids - Band 064 - In der Schatzhöhle,"Pfeiffer, Boris",,,,,not_found
sternenschweif band 046 das magische wasser|linda chapman,checked,Sternenschweif - Band 046 - Das magische Wasser,"Chapman, Linda",,,,,not_found
tafiti band 006 und die affenbande|julia boehme,checked,Tafiti - Band 006 - und die Affenbande,"Boehme, Julia",,,,,not_found
das magische baumhaus band 050 das beste|mary pope osborne,checked,Das magische Baumhaus - Band 050 - Das beste,"Osborne, Mary Pope",,,,,not_found
die frechen vier mit sack und pack ins abenteuer|usch luhn,checked,Die frechen Vier - Mit Sack und Pack ins Abenteuer,"Luhn, Usch",,,,,not_found
liliane susewind band 002 ein meerschwein ist nicht|tanya stewner,checked,Liliane Susewind - Band 002 - Ein Meerschwein ist nicht,"Stewner, Tanya",,,,,not_found
ritter kuno kettenstrumpf|oliver potzsch,found,Ritter Kuno Kettenstrumpf,"Pötzsch, Oliver",9783522610490,Ritter Kuno Kettenstrumpf Oliver Pötzsch,"Pötzsch, Oliver",0.8269,dnb
nele band 013 und die hundeschule|usch luhn,checked,Nele - Band 013 - und die Hundeschule,"Luhn, Usch",,,,,not_found
ponygeschichten|katja reider,checked,Ponygeschichten,"Reider, Katja",,,,,not_found
ein fall fur kwiatkowski band 010 donner blitz und|jurgen banscherus,checked,"Ein Fall für Kwiatkowski - Band 010 - Donner, Blitz und","Banscherus, Jürgen",,,,,not_found
mein freund aus dem roboland|zapf,checked,Mein Freund aus dem Roboland,Zapf,,,,,not_found
extrem tv|vitor zimmerer,checked,Extrem TV,"Zimmerer, Vitor",,,,,not_found
klar der cybermobbingalbtraum|annette weber,checked,KLAR; Der Cybermobbingalbtraum,"Weber, Annette",,,,,not_found
onyx schattenschimmer band 2|jennifer l armentrout,checked,Onyx Schattenschimmer Band 2,"Armentrout, Jennifer L.",,,,,not_found
opal schattenglanz|jennifer l armentrout,checked,Opal; Schattenglanz,"Armentrout, Jennifer L.",,,,,not_found
alea aquarius band 01 der ruf des wassers|tanya stewner,found,Alea Aquarius - Band 01 - Der Ruf des Wassers,"Stewner, Tanya",9783789147470,Alea Aquarius 1. Der Ruf des Wassers Tanya Stewner,"Stewner, Tanya",0.8333,dnb
das erste mal wird s heut passieren|annette weber,checked,Das erste Mal wird’s heut passieren,"Weber, Annette",,,,,not_found
und plotzlich bist du jemand anders|christian tielmann,found,Und plötzlich bist du jemand Anders,"Tielmann, Christian",9783473524891,Und plötzlich bist du jemand anders Christian Tielmann,"Tielmann, Christian",0.8399,dnb
die drei geheimnis im dustermoor band 056|maya vogel,checked,Die drei !!! - Geheimnis im Düstermoor - Band 056,"Vogel, Maya",,,,,not_found
die drei tatort kreuzfahrt band 057|henriette wich,checked,Die drei !!! - Tatort Kreuzfahrt - Band 057,"Wich, Henriette",,,,,not_found
finde den tater der fluch der schwarzen schutzen|julian press,checked,Finde den Täter - Der Fluch der schwarzen Schützen,"Press, Julian",,,,,not_found
finde den tater geheimbund rote koralle|julian press,checked,Finde den Täter - Geheimbund Rote Koralle,"Press, Julian",,,,,not_found
gregs tagebuch band 006 keine panik|jeff kinney,checked,Gregs Tagebuch - Band 006 - Keine Panik,"Kinney, Jeff",,,,,not_found
luisa schule ist toll besonders in den ferien|janne nilsson,checked,"Luisa, Schule ist toll, besonders in den Ferien!","Nilsson, Janne",,,,,not_found
die drei band 156 im netz des drachen|marco sonnleitner,checked,Die drei ??? - Band 156 - Im Netz des Drachen,"Sonnleitner, Marco",,,,,not_found
die sagenhafte saubande kommando kanguru|nina weger,checked,"Die sagenhafte Saubande, Kommando Känguru","Weger, Nina",,,,,not_found
mein lotta leben band 08 kein drama ohne lama|alice pantermuller,found,Mein Lotta-Leben - Band 08 - Kein Drama ohne Lama,"Pantermüller, Alice",9787201164830,"Mein Lotta-Leben Kein Drama ohne Lama, chin.","Pantermüller, Alice",0.8879,dnb
familienausflug nein danke|sabine zett,checked,Familienausflug Nein Danke,"Zett, Sabine",,,,,not_found
die nordseedetektive band 002 das gespensterhotel|bettina goschl,checked,Die Nordseedetektive - Band 002 - Das Gespensterhotel,"Göschl, Bettina",,,,,not_found
pax der hollenhund|asa larsson,checked,PAX - Der Höllenhund,"Larsson, Asa",,,,,not_found
pax der fluch|asa larsson,checked,PAX - Der Fluch,"Larsson, Asa",,,,,not_found
gregs tagebuch band 009 bose falle|jeff kinney,checked,Gregs Tagebuch - Band 009 - Böse Falle,"Kinney, Jeff",,,,,not_found
alfie bloom band 01 das geheimnis der drachenburg|gabrielle kent,found,Alfie Bloom - Band 01 - Das Geheimnis der Drachenburg,"Kent, Gabrielle",9783505137150,Alfie Bloom Bd. 1. Das Geheimnis der Drachenburg Gabrielle Kent,"Kent, Gabrielle",0.8773,dnb
die drei kids band 067 der goldene drache|boris pfeiffer,checked,Die drei ??? Kids - Band 067 - Der goldene Drache,"Pfeiffer, Boris",,,,,not_found
luca wird der klassenheld|patricia schroder,checked,Luca wird der Klassenheld,"Schröder, Patricia",,,,,not_found
sternenschweif band 048 geheimnis der mondsteine|linda chapman,checked,Sternenschweif - Band 048 - Geheimnis der Mondsteine,"Chapman, Linda",,,,,not_found
der kleine drache kokosnuss und das vampir|ingo siegner,checked,Der kleine Drache Kokosnuss - und das Vampir-,"Siegner, Ingo",,,,,not_found
der kleine drache kokosnuss band 016 bei den|ingo siegner,checked,Der kleine Drache Kokosnuss - Band 016 - bei den,"Siegner, Ingo",,,,,not_found
ponyherz band 007 ein wildpferd auf dem pausenhof|usch luhn,checked,Ponyherz - Band 007 - Ein Wildpferd auf dem Pausenhof,"Luhn, Usch",,,,,not_found
tino und die zeitmaschine|fischer hunold alexandra,checked,Tino und die Zeitmaschine,Fischer-Hunold Alexandra,,,,,not_found
globi band 013 erlebt paris|alfred bruggmann,checked,Globi - Band 013 - erlebt Paris,"Bruggmann, Alfred",,,,,not_found
globi band 070 globis zoo|peter heinzer,checked,Globi - Band 070 - Globis Zoo,"Heinzer, Peter",,,,,not_found
fussballgeschichten|michaela hanauer,checked,FUSSBALLGESCHICHTEN,"Hanauer, Michaela",,,,,not_found
robin hood|angie westhoff,checked,Robin Hood,"Westhoff, Angie",,,,,not_found
ein fall fur kwiatkowski band 009 hunde hute und|jurgen banscherus,checked,"Ein Fall für Kwiatkowski - Band 009 - Hunde, Hüte und","Banscherus, Jürgen",,,,,not_found
sternenritter band 005 das monster aus metall|michael peinkofer,checked,Sternenritter - Band 005 - Das Monster aus Metall,"Peinkofer, Michael",,,,,not_found
monster mia band 009 und die gefrassigen schoko|a b saddlewick,checked,Monster Mia - Band 009 - und die gefrässigen Schoko-,"Saddlewick, A.B",,,,,not_found
beast quest band 020 ecor hufe der zerstorung|adam blade,checked,Beast Quest - Band 020 - Ecor Hufe der Zerstörung,"Blade, Adam",,,,,not_found
beast quest band 021 tarax klauen der finsternis|adam blade,checked,Beast Quest - Band 021 - Tarax Klauen der Finsternis,"Blade, Adam",,,,,not_found
beast quest band 024 pantrax pranken der holle|adam blade,checked,Beast Quest - Band 024 - Pantrax Pranken der Hölle,"Blade, Adam",,,,,not_found
beast quest band 023 drako atem des zorn|adam blade,checked,Beast Quest - Band 023 - Drako Atem des Zorn,"Blade, Adam",,,,,not_found
beast quest band 019 necro tentakel des grauens|adam blade,checked,Beast Quest - Band 019 - Necro Tentakel des Grauens,"Blade, Adam",,,,,not_found
weil ich so bin|christine feher,checked,Weil ich so bin,"Fehér, Christine",,,,,not_found
ich weiss alles uber dich|thomas feibel,found,Ich weiss alles über dich,"Feibel, Thomas",9783551314567,Ich weiss alles über dich Thomas Feibel,"Feibel, Thomas",0.8359,dnb
jetzt tragt sie auch noch kopftuch|friederike schmoe,found,Jetzt trägt sie auch noch Kopftuch,"Schmoe, Friederike",9783834632753,Jetzt trägt sie auch noch Kopftuch! Friederike Schmöe,"Schmöe, Friederike",0.8430,dnb
geheimnisse vom madchenklo|rose cooper,found,Geheimnisse vom Mädchenklo,"Cooper, Rose",9783732524044,Geheimnisse vom Mädchenklo Rose Cooper,"Cooper, Rose",0.8594,dnb
dork diaries nikkis schlillernde filmkarriere|rachel russell,checked,Dork Diaries - Nikkis schlillernde Filmkarriere,"Russell, Rachel",,,,,not_found
die glucksbackerei band 003 die magische|kathryn littlewood,checked,Die Glücksbäckerei - Band 003 - Die magische,"Littlewood, Kathryn",,,,,not_found
die glucksbackerei band 002 die magische prufung|kathryn littlewood,checked,Die Glücksbäckerei - Band 002 - Die magische Prüfung,"Littlewood, Kathryn",,,,,not_found
die drei band 060 liebes chaos|maya vogel,checked,Die drei !!! - Band 060 - Liebes Chaos,"Vogel, Maya",,,,,not_found
die drei band 059 das geheime parfum|mira sol,checked,Die drei !!! - Band 059 - Das geheime Parfum,"Sol, Mira",,,,,not_found
die drei band 055 wildpferd in gefahr|mira sol,checked,Die drei !!! - Band 055 - Wildpferd in Gefahr,"Sol, Mira",,,,,not_found
pax das geisterkind|asa larsson,checked,PAX - Das Geisterkind,"Larsson, Asa",,,,,not_found
mein lotta leben band 09 das reinste katzentheater|alice pantermuller,found,Mein Lotta-Leben - Band 09 - Das reinste Katzentheater,"Pantermüller, Alice",9787201164830,"Mein Lotta-Leben Das reinste Katzentheater, chin.","Pantermüller, Alice",0.8995,dnb
die glucksbackerei band 004 die magische|kathryn littlewood,checked,Die Glücksbäckerei - Band 004 - Die magische,"Littlewood, Kathryn",,,,,not_found
origin schattenfunke|jennifer l armentrout,checked,Origin - Schattenfunke,"Armentrout, Jennifer L.",,,,,not_found
die sturmschwester|lucinda riley,checked,Die Sturmschwester,"Riley, Lucinda",,,,,not_found
papierjunge|kristina ohlsson,checked,Papierjunge,"Ohlsson, Kristina",,,,,not_found
das joshua profil|sebastian fitzek,found,Das Joshua Profil,"Fitzek, Sebastian",9783785753323,Das Joshua-Profil Fitzek,"Jäger, Simon",0.8720,dnb
todliche nachbarschaft|viveca sten,found,Tödliche Nachbarschaft,"Sten, Viveca",9783462315745,Tödliche Nachbarschaft Viveca Sten,"Sten, Viveca",0.8393,dnb
erbe und schicksal|jeffrey archer,checked,Erbe und Schicksal,"Archer, Jeffrey",,,,,not_found
wer wind sat|nele neuhaus,checked,Wer Wind sät,"Neuhaus, Nele",,,,,not_found
wenn du mich siehst|nicholas sparks,checked,Wenn du mich siehst,"Sparks, Nicholas",,,,,not_found
nacht im central park|guillaume musso,checked,Nacht im Central Park,"Musso, Guillaume",,,,,not_found
tiefe wunden|nele neuhaus,checked,Tiefe Wunden,"Neuhaus, Nele",,,,,not_found
alea aquarius band 02 die farben des meeres|tanya stewner,checked,Alea Aquarius - Band 02 - Die Farben des Meeres,"Stewner, Tanya",,,,,not_found
endgame die auserwahlten|james frey,checked,Endgame - Die Auserwählten,"Frey, James",,,,,not_found
die drei und der letzte song band 183|ben nevis,checked,Die drei ??? - und der letzte Song - Band 183,"Nevis, Ben",,,,,not_found
die drei band 058 gorilla in not|heger ann katrin,checked,Die drei !!! - Band 058 - Gorilla in Not,Heger Ann-Katrin,,,,,not_found
heartbeats meine zeit mit dir|shelley coriell,checked,Heartbeats - Meine Zeit mit dir,"Coriell, Shelley",,,,,not_found
spirit animals der feind erwacht|brandon mull,checked,Spirit Animals - Der Feind erwacht,"Mull, Brandon",,,,,not_found
french summer|marian smet de,checked,French Summer,"Smet De , Marian",,,,,not_found
cornwall college band 001 was verbirgt cara|annika harper,checked,Cornwall College - Band 001 - Was verbirgt Cara,"Harper, Annika",,,,,not_found
gryphony im bann des greifen|michael peinkofer,checked,Gryphony - Im Bann des Greifen,"Peinkofer, Michael",,,,,not_found
tom gates band 008 bitte nicht storen ein genie bei|liz pichon,checked,"Tom Gates - Band 008 - Bitte nicht stören, ein Genie bei","Pichon, Liz",,,,,not_found
dork diaries mein dorkalizioses tagebuch|rachel russell,checked,Dork Diaries - Mein dorkaliziöses Tagebuch,"Russell, Rachel",,,,,not_found
endgame die hoffnung|james frey,checked,Endgame - die Hoffnung,"Frey, James",,,,,not_found
anima schwarze seele weisses herz|kim kestner,checked,Anima - schwarze Seele weisses Herz,"Kestner, Kim",,,,,not_found
die glucksbackerei band 001 das magische|kathryn littlewood,checked,Die Glücksbäckerei - Band 001 - Das magische,"Littlewood, Kathryn",,,,,not_found
selection|kiera cass,checked,Selection,"Cass, Kiera",,,,,not_found
bretonische flut|jean luc bannalec,checked,Bretonische Flut,"Bannalec, Jean-Luc",,,,,not_found
vierundzwanzig stunden|guillaume musso,checked,Vierundzwanzig Stunden,"Musso, Guillaume",,,,,not_found
die entscheidung|charlotte link,checked,Die Entscheidung,"Link, Charlotte",,,,,not_found
der traummacher band 6|max bentow,checked,Der Traummacher - Band 6,"Bentow, Max",,,,,not_found
das grosse rennen um den pokal|thilo,found,Das grosse Rennen um den Pokal,THiLO,9783619144228,Das große Rennen um den Pokal THiLO,THiLO,0.8962,dnb
das magische baumhaus junior band 008 die|mary pope osborne,checked,Das magische Baumhaus junior - Band 008 - Die,"Osborne, Mary Pope",,,,,not_found
das magische baumhaus junior band 006 verborgen|mary pope osborne,checked,Das magische Baumhaus junior - Band 006 - Verborgen,"Osborne, Mary Pope",,,,,not_found
liliane susewind band 005 extra punkte fur den|tanya stewner,checked,Liliane Susewind - Band 005 - Extra-Punkte für den,"Stewner, Tanya",,,,,not_found
die piratenschiffgang der fiese admiral hammerhad|peter kranzle,checked,Die Piratenschiffgäng - Der fiese Admiral Hammerhäd,"Kränzle, Peter",,,,,not_found
der magische blumenladen band 004 die reise zu|gina mayer,checked,Der magische Blumenladen - Band 004 - Die Reise zu,"Mayer, Gina",,,,,not_found
petronella apfelmus verhext und festgeklebt|sabine stading,checked,Petronella Apfelmus - Verhext und festgeklebt,"Städing, Sabine",,,,,not_found
die drei kids band 068 chaos im dunkeln|ulf blanck,checked,Die drei ??? Kids - Band 068 - Chaos im Dunkeln,"Blanck, Ulf",,,,,not_found
abenteuer am sturmischen see|manfred mai,checked,Abenteuer am stürmischen See,"Mai, Manfred",,,,,not_found
ein nilpferd in der badewanne|saskia hula,checked,Ein Nilpferd in der Badewanne,"Hula, Saskia",,,,,not_found
der fabelhafte regenschirm die verruckte stadt|sarah storm,found,"Der fabelhafte Regenschirm, Die verrückte Stadt","Storm, Sarah",9783731395164,Der fabelhafte Regenschirm. Die verrückte Stadt Folge 1 Sarah Storm,"Storm, Sarah",0.8661,dnb
die drei kids band 069 die ratselfalle|,checked,Die drei ??? Kids - Band 069 - die Rätselfalle,,,,,,not_found
nele band 016 und die glucksschokolade|usch luhn,checked,Nele - Band 016 - und die Glücksschokolade,"Luhn, Usch",,,,,not_found
fussballhaie duell im fussballcamp|andreas schluter,checked,"Fussballhaie, Duell im Fussballcamp","Schlüter, Andreas",,,,,not_found
funf freunde band 058 und die falsche prinzessin|enid blyton,checked,Fünf Freunde - Band 058 - und die falsche Prinzessin,"Blyton, Enid",,,,,not_found
kakerlakenkekse und teerbonbons|zapf jochen till,checked,Kakerlakenkekse und Teerbonbons!,Zapf Jochen Till,,,,,not_found
penny pepper band 001 alles kein problem|ulrike rylance,checked,Penny Pepper - Band 001 - alles kein Problem,"Rylance, Ulrike",,,,,not_found
der magische blumenladen band 001 ein geheimnis|gina mayer,checked,Der magische Blumenladen - Band 001 - Ein Geheimnis,"Mayer, Gina",,,,,not_found
der magische blumenladen band 003 zaubern ist|gina mayer,checked,Der magische Blumenladen - Band 003 - Zaubern ist,"Mayer, Gina",,,,,not_found
der magische blumenladen band 002 ein total|gina mayer,checked,Der magische Blumenladen - Band 002 - Ein total,"Mayer, Gina",,,,,not_found
penny pepper band 002 alarm auf der achterbahn|ulrike rylance,checked,Penny Pepper - Band 002 - Alarm auf der Achterbahn,"Rylance, Ulrike",,,,,not_found
der kleine drache kokosnuss band 017 im weltraum|ingo siegner,found,Der kleine Drache Kokosnuss - Band 017 - im Weltraum,"Siegner, Ingo",9783570176986,Der kleine Drache Kokosnuss im Weltraum Ingo Siegner,"Siegner, Ingo",0.8350,dnb
die vulkanos pupsen los|franziska gehm,checked,Die Vulkanos pupsen los!,"Gehm, Franziska",,,,,not_found
alfie bloom band 002 jagd nach dem magischen|gabrielle kent,checked,Alfie Bloom - Band 002 - Jagd nach dem magischen,"Kent, Gabrielle",,,,,not_found
penny pepper band 003 chaos in der schule|ulrike rylance,checked,Penny Pepper - Band 003 - Chaos in der Schule,"Rylance, Ulrike",,,,,not_found
das kleine muffelmonster viel wirbel im klassenzimmer|julia boehme,checked,"Das kleine Muffelmonster, Viel Wirbel im Klassenzimmer","Boehme, Julia",,,,,not_found
das gespenst auf dem dachboden|katja konigsberg,checked,DAS GESPENST AUF DEM DACHBODEN,"Königsberg, Katja",,,,,not_found
geschichten aus der autowerkstatt|thilo,found,Geschichten aus der Autowerkstatt,THiLO,9783785580820,Geschichten aus der Autowerkstatt THiLO,THiLO,0.9375,dnb
spirit animals band 003 das bose erhebt sich|brandon mull,checked,Spirit Animals - Band 003 - Das Böse erhebt sich,"Mull, Brandon",,,,,not_found
ich die fussball gang alles vollpfosten|antje szillat,checked,"Ich & die Fussball Gang, Alles Vollpfosten","Szillat, Antje",,,,,not_found
jake absolut genial|jake marcionette,checked,Jake - absolut genial,"Marcionette, Jake",,,,,not_found
die vampirschwestern finale randale|franziska gehm,checked,"Die Vampirschwestern, Finale Randale","Gehm, Franziska",,,,,not_found
die glucksbackerei band 005 die magische rettung|kathryn littlewood,checked,Die Glücksbäckerei - Band 005 - Die Magische Rettung,"Littlewood, Kathryn",,,,,not_found
zimt weg die vertauschten welten der victoria king|dagmar bach,found,"Zimt & weg, Die vertauschten Welten der Victoria King","Bach, Dagmar",9783733502430,Zimt & weg die vertauschten Welten der Victoria King Dagmar Bach,"Bach, Dagmar",0.9196,dnb
gregs tagebuch band 001 von idioten umzingelt|jeff kinney,checked,Gregs Tagebuch - Band 001 - Von Idioten umzingelt,"Kinney, Jeff",,,,,not_found
selection die krone|kiera cass,checked,Selection - Die Krone,"Cass, Kiera",,,,,not_found
flucht aus der unterwelt|kester schlenz,checked,Flucht aus der Unterwelt,"Schlenz, Kester",,,,,not_found
die drei band 061 der fall der dornroschen|kari erlhoff,checked,Die drei !!! - Band 061 - Der Fall der Dornröschen,"Erlhoff, Kari",,,,,not_found
spirit animals band 005 die maske fallt|sutherland tui t,checked,Spirit Animals - Band 005 - Die Maske fällt,Sutherland Tui T.,,,,,not_found
spirit animals band 004 das eis bricht|sutherland tui t,checked,Spirit Animals - Band 004 - Das Eis bricht,Sutherland Tui T.,,,,,not_found
spirit animals band 002 die jagd beginnt|maggie stiefvater,checked,Spirit Animals - Band 002 - Die Jagd beginnt,"Stiefvater, Maggie",,,,,not_found
